epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1945,1.17614,4.1924,1.23545,0.04338,0.31898,0.05593,0.03151,0.73296,4.30884,1.01359,4.704e-05,4.704e-05,4.704e-05
2,33.2923,0.88881,3.96916,1.08026,0.02055,0.64583,0.10536,0.09044,0.60284,4.2138,0.93435,9.89704e-05,9.89704e-05,9.89704e-05
3,49.7681,0.79952,3.78817,1.03578,0.01219,0.65625,0.2041,0.18255,0.65367,4.19551,0.9321,0.000149853,0.000149853,0.000149853
4,66.0579,0.76746,3.5052,1.02461,0.01187,0.78125,0.22444,0.19714,0.58199,4.10153,0.90921,0.000199688,0.000199688,0.000199688
5,82.4435,0.76355,3.36881,1.00076,0.01099,0.86458,0.17693,0.15798,0.58107,3.96443,0.92175,0.000248475,0.000248475,0.000248475
6,98.9205,0.76393,2.75049,1.02901,1,0.06145,0.16021,0.13924,0.65762,3.80488,0.98021,0.000296214,0.000296214,0.000296214
7,115.52,0.67977,2.70276,0.97758,0.88801,0.10858,0.3494,0.32129,0.63351,3.38939,1.01712,0.000342905,0.000342905,0.000342905
8,132.101,0.64502,2.54011,0.95677,0.79575,0.32584,0.40643,0.36871,0.7118,3.20328,1.04617,0.000388549,0.000388549,0.000388549
9,148.462,0.63915,2.33339,0.96067,0.7999,0.39847,0.43167,0.387,0.72307,3.08354,1.06644,0.000433144,0.000433144,0.000433144
10,164.654,0.66361,2.26375,0.99015,0.77066,0.3685,0.4556,0.40966,0.68923,2.94246,1.03663,0.000476692,0.000476692,0.000476692
11,180.872,0.66992,1.9587,0.9567,0.76098,0.4375,0.59826,0.53654,0.7011,2.62259,1.0026,0.000519192,0.000519192,0.000519192
12,197.08,0.69387,2.07684,1.01872,0.80211,0.4375,0.66227,0.59149,0.67988,2.65262,0.97854,0.000523967,0.000523967,0.000523967
13,213.007,0.65545,1.89777,0.98083,0.82075,0.43322,0.65143,0.56141,0.69033,2.70865,0.98099,0.000518146,0.000518146,0.000518146
14,229.111,0.64334,1.75821,0.97221,0.76777,0.52083,0.66982,0.55799,0.66741,2.70214,0.96992,0.000512324,0.000512324,0.000512324
15,246.155,0.67892,1.83579,0.93834,0.64051,0.53047,0.70231,0.57179,0.67913,2.63043,0.987,0.000506503,0.000506503,0.000506503
16,263.271,0.62196,1.67566,0.9316,0.65121,0.64021,0.71594,0.61815,0.68261,2.27469,1.00115,0.000500682,0.000500682,0.000500682
17,280.632,0.63805,1.66647,0.96864,0.66496,0.6888,0.73971,0.66473,0.59877,1.98254,0.97824,0.000494861,0.000494861,0.000494861
18,296.874,0.66123,1.67661,0.95029,0.70472,0.69339,0.83561,0.75942,0.58891,1.91862,0.95124,0.00048904,0.00048904,0.00048904
19,312.985,0.60913,1.73661,0.96607,0.71874,0.65625,0.73122,0.67454,0.56905,2.31691,0.91508,0.000483218,0.000483218,0.000483218
20,328.233,0.61123,1.56963,0.93933,0.71998,0.67603,0.79705,0.72598,0.54407,2.12166,0.91529,0.000477397,0.000477397,0.000477397
21,343.658,0.62756,1.63134,0.96183,0.77088,0.67354,0.8331,0.73873,0.56731,1.95017,0.92518,0.000471576,0.000471576,0.000471576
22,358.835,0.62179,1.51766,0.93864,0.72116,0.69236,0.82966,0.72181,0.59214,1.83559,0.93971,0.000465755,0.000465755,0.000465755
23,374.032,0.63102,1.53041,0.94026,0.79613,0.66513,0.87645,0.78546,0.61136,1.85226,0.95116,0.000459934,0.000459934,0.000459934
24,389.627,0.55556,1.38664,0.93158,0.66584,0.76182,0.88948,0.80678,0.61698,1.84601,0.96135,0.000454112,0.000454112,0.000454112
25,404.733,0.61627,1.44297,0.94831,0.83953,0.63984,0.85081,0.76416,0.60204,1.81828,0.96388,0.000448291,0.000448291,0.000448291
26,419.95,0.60008,1.55669,0.95552,0.81102,0.65374,0.81125,0.72223,0.59335,1.74748,0.96238,0.00044247,0.00044247,0.00044247
27,435.641,0.62216,1.47467,0.9337,0.58117,0.79167,0.89796,0.79005,0.60722,1.71711,0.97381,0.000436649,0.000436649,0.000436649
28,451.087,0.60484,1.39346,0.93817,0.70058,0.78125,0.89886,0.80359,0.6131,1.67553,0.97676,0.000430828,0.000430828,0.000430828
29,466.466,0.59044,1.3546,0.91944,0.78133,0.78125,0.89285,0.8178,0.5856,1.59318,0.95452,0.000425006,0.000425006,0.000425006
30,483.229,0.5853,1.27651,0.94139,0.77257,0.83535,0.90094,0.81755,0.56572,1.50328,0.95323,0.000419185,0.000419185,0.000419185
31,501.334,0.60491,1.22956,0.91634,0.80164,0.87036,0.90271,0.81463,0.54267,1.49101,0.94759,0.000413364,0.000413364,0.000413364
32,519.835,0.56446,1.23562,0.91533,0.81549,0.79121,0.86395,0.75416,0.53849,1.46576,0.94178,0.000407543,0.000407543,0.000407543
33,537.154,0.58388,1.29522,0.92861,0.66739,0.81283,0.87776,0.77394,0.57079,1.51486,0.95053,0.000401722,0.000401722,0.000401722
34,554.494,0.51805,1.14915,0.90348,0.66276,0.82197,0.91914,0.77974,0.61109,1.51666,0.9624,0.0003959,0.0003959,0.0003959
35,571.682,0.61148,1.3251,0.9563,0.82842,0.8,0.95763,0.80862,0.61423,1.4922,0.97389,0.000390079,0.000390079,0.000390079
36,589.209,0.52848,1.1878,0.92002,0.9433,0.75583,0.96068,0.82816,0.60761,1.49216,0.98795,0.000384258,0.000384258,0.000384258
37,606.466,0.53529,1.30275,0.92553,0.95535,0.76874,0.95978,0.85183,0.61791,1.50708,0.97756,0.000378437,0.000378437,0.000378437
38,623.879,0.5423,1.24442,0.93845,0.9679,0.77301,0.9598,0.85679,0.58802,1.45528,0.95673,0.000372616,0.000372616,0.000372616
39,641.175,0.52634,1.18139,0.91523,0.81293,0.87049,0.96071,0.84138,0.5658,1.38355,0.94078,0.000366794,0.000366794,0.000366794
40,658.691,0.55896,1.1544,0.92021,0.88438,0.86891,0.95986,0.85107,0.55981,1.35133,0.93515,0.000360973,0.000360973,0.000360973
41,676.121,0.56124,1.14209,0.90708,0.91598,0.85872,0.9599,0.85059,0.55666,1.32375,0.94567,0.000355152,0.000355152,0.000355152
42,693.447,0.59858,1.23692,0.94234,0.92726,0.85712,0.95993,0.85168,0.55704,1.32818,0.95709,0.000349331,0.000349331,0.000349331
43,710.883,0.52353,1.06705,0.90868,0.94178,0.85647,0.96191,0.85281,0.54539,1.35697,0.94611,0.00034351,0.00034351,0.00034351
44,728.306,0.52165,1.14464,0.93566,0.92169,0.86253,0.96211,0.85991,0.53315,1.36336,0.94101,0.000337688,0.000337688,0.000337688
45,745.564,0.51912,1.10572,0.92898,0.91483,0.86403,0.96224,0.87608,0.52499,1.36676,0.93525,0.000331867,0.000331867,0.000331867
46,762.831,0.53861,1.14675,0.91955,0.90811,0.87133,0.96214,0.87134,0.53574,1.35335,0.93977,0.000326046,0.000326046,0.000326046
47,780.115,0.55625,1.10328,0.91836,0.9355,0.8685,0.96204,0.87244,0.55008,1.3806,0.94838,0.000320225,0.000320225,0.000320225
48,797.522,0.5889,1.11812,0.93331,0.94561,0.86582,0.92054,0.84277,0.55339,1.37612,0.94287,0.000314404,0.000314404,0.000314404
49,814.911,0.54419,1.17494,0.90456,0.94362,0.8667,0.962,0.85914,0.54611,1.35684,0.93683,0.000308582,0.000308582,0.000308582
50,832.435,0.57087,1.2211,0.93878,0.96026,0.86102,0.96209,0.85722,0.54033,1.31835,0.92886,0.000302761,0.000302761,0.000302761
51,849.951,0.50733,1.00813,0.87807,0.82531,0.96197,0.96222,0.87342,0.55148,1.27196,0.93144,0.00029694,0.00029694,0.00029694
52,867.567,0.51747,0.96973,0.90814,0.8094,0.96246,0.96183,0.87054,0.55018,1.23182,0.92874,0.000291119,0.000291119,0.000291119
53,883.991,0.53596,1.02834,0.94011,0.8046,0.96493,0.96291,0.86983,0.5504,1.19373,0.93051,0.000285298,0.000285298,0.000285298
54,900.496,0.48624,1.00052,0.88425,0.80157,0.96667,0.96333,0.86272,0.54081,1.19291,0.9325,0.000279476,0.000279476,0.000279476
55,916.877,0.50153,1.0031,0.90594,0.81756,0.9665,0.96216,0.86523,0.5315,1.2046,0.92973,0.000273655,0.000273655,0.000273655
56,933.531,0.52291,1.02302,0.90216,0.84,0.96409,0.96051,0.84714,0.52862,1.21368,0.93544,0.000267834,0.000267834,0.000267834
57,950.249,0.48381,0.9207,0.88815,0.8459,0.96242,0.96,0.84939,0.53564,1.22927,0.94403,0.000262013,0.000262013,0.000262013
58,966.772,0.50101,0.93346,0.90344,0.85263,0.96159,0.96065,0.84849,0.52914,1.23745,0.94313,0.000256192,0.000256192,0.000256192
59,983.26,0.49276,0.97601,0.90707,0.8424,0.9613,0.96188,0.84445,0.56847,1.29859,0.94749,0.00025037,0.00025037,0.00025037
60,999.78,0.4922,0.93769,0.88603,0.8453,0.96125,0.96319,0.85944,0.60299,1.31426,0.95705,0.000244549,0.000244549,0.000244549
61,1016.42,0.50575,0.95289,0.87207,0.86449,0.96108,0.96318,0.85647,0.61737,1.31436,0.96417,0.000238728,0.000238728,0.000238728
62,1032.96,0.53143,0.99313,0.91337,0.87501,0.96137,0.96335,0.86309,0.62014,1.2994,0.96994,0.000232907,0.000232907,0.000232907
63,1049.63,0.50036,0.94515,0.89906,0.88743,0.96239,0.96355,0.86664,0.61111,1.30133,0.9666,0.000227086,0.000227086,0.000227086
64,1066.14,0.4734,0.93138,0.87876,0.88388,0.96667,0.9639,0.86672,0.59102,1.27544,0.96391,0.000221264,0.000221264,0.000221264
65,1082.72,0.47335,0.9138,0.88885,0.86106,0.96667,0.96421,0.86808,0.57673,1.24958,0.95844,0.000215443,0.000215443,0.000215443
66,1099.19,0.47954,0.85006,0.88942,0.82712,0.96667,0.96403,0.86901,0.56594,1.24359,0.95216,0.000209622,0.000209622,0.000209622
67,1116.14,0.45854,0.86756,0.88165,0.9527,0.86564,0.96486,0.85414,0.54735,1.22055,0.94625,0.000203801,0.000203801,0.000203801
68,1133.3,0.43964,0.88313,0.88711,0.95469,0.86951,0.9633,0.86039,0.53783,1.20138,0.94723,0.00019798,0.00019798,0.00019798
69,1150.44,0.50346,0.92491,0.92278,0.95615,0.87235,0.9555,0.85797,0.5308,1.19005,0.94811,0.000192158,0.000192158,0.000192158
70,1167.23,0.46707,0.92608,0.89333,0.95408,0.87555,0.95458,0.85577,0.53051,1.20116,0.94148,0.000186337,0.000186337,0.000186337
71,1184.4,0.47291,0.92833,0.91159,0.81194,0.96667,0.95362,0.86297,0.52742,1.22329,0.93919,0.000180516,0.000180516,0.000180516
72,1201.48,0.45224,0.90031,0.88156,0.8341,0.96667,0.95459,0.8726,0.51282,1.22166,0.92975,0.000174695,0.000174695,0.000174695
73,1217.9,0.43324,0.86775,0.88733,0.85398,0.96561,0.95482,0.86691,0.50075,1.22027,0.92044,0.000168874,0.000168874,0.000168874
74,1234.39,0.47578,0.88782,0.88581,0.86307,0.96592,0.95874,0.86717,0.48964,1.20458,0.91168,0.000163052,0.000163052,0.000163052
75,1250.85,0.42617,0.85064,0.9017,0.89072,0.96667,0.96589,0.87962,0.48265,1.1816,0.90327,0.000157231,0.000157231,0.000157231
76,1267.35,0.41638,0.84593,0.86591,0.88235,0.96667,0.96582,0.88242,0.48582,1.15109,0.90726,0.00015141,0.00015141,0.00015141
77,1283.84,0.49268,0.88832,0.90631,0.87087,0.96667,0.96605,0.88817,0.48326,1.13382,0.90543,0.000145589,0.000145589,0.000145589
78,1300.26,0.44326,0.9124,0.88788,0.8598,0.96667,0.96553,0.87888,0.4799,1.11842,0.90305,0.000139768,0.000139768,0.000139768
79,1316.59,0.4585,0.89388,0.89055,0.84407,0.96667,0.96552,0.88315,0.48028,1.10019,0.90874,0.000133946,0.000133946,0.000133946
